work,location,time post,applications,description
Mitarbeiter im Vertrieb (d/w/m) - Raum Frankfurt/Main,jameda GmbH Frankfurt/Rhein-Main Hybrid,Vor 2 Wochen,55 Bewerbungen,"Description
Werde Teil des Hyper-Growth und “make the healthcare experience more human!“
Jameda ist Deutschlands Marktführer und größte Arzt-Patienten Plattform. Als Teil der DocPlanner Group, der global führenden Unicorn Healthcare-Plattform, unterstützt von Investoren wie Goldman Sachs, Target Global und weiteren, helfen wir weltweit 130.000 Ärzt:innen und Kliniken. Über 80 Millionen Patient:innen in 13 Länder finden auf unseren nationalen Plattformen den richtigen Arzt und Termin, unterstützt von unseren 2.200 Mitarbeitern. Wir verbinden Arzt und Patient mit unseren Software-as-a-Service Produkten einfach, schnell und passgenau.
Wir sind ein Team, das Herausforderungen liebt, autonom arbeitet und den Status quo stets hinterfragt. Wir legen Wert auf Mut, Progressivität und positive Energie! Das klingt nach dir? Dann bewirb dich jetzt und verändere die Health-Care Branche gemeinsam mit uns!

Wenn Du weitere Impressionen möchtest, schau dir unsere Glassdoor Bewertungen und unser kununu Profil an.

Was dich bei uns erwartet:
Wettbewerbsfähiges Gehalt: 53.000 - 79.000 Zielgehalt (Provision ungedeckelt)
Du unterstützt als Vertriebsmitarbeiter das Team Sales bei jameda
Du bekommst ein eigenes Vertriebsgebiet, bist dort jamedas Markenbotschafter und trägst die volle Verantwortung für die Neukundenakquisition und den Bestandskundenausbau
Du begeisterst Ärzte und Praxispersonal für die Produkte von jameda (telefonisch und vor Ort)
Du bist Ansprechpartner von der (Kalt-)Akquisition bis zum Vertragsabschluss
Du trackst regelmäßig dein Sales Reporting und Forecasting mittels Salesforce um deinen Erfolg zu messen

Requirements
Wir möchten Dich gerne kennenlernen, wenn Du:
Positive Energie, Verkaufstalent und Spaß an der Kommunikation mit Kunden,
Interesse am Gesundheitsmarkt und eine Affinität für digitale Produkte mitbringst
Das „Hunter-Gen“ in dir hast: Es fällt dir leicht, auf neue Menschen zuzugehen, Kaltakquise ist dein Ding, du hast dein Ziel immer fest im Blick und ein erstes „Nein“ siehst du als sportliche Herausforderung
Keine Angst hast, deine Komfortzone zu verlassen
Ehrgeiz, Eigeninitiative, ein hohes Maß an Kunden- und Serviceorientierung sowie hohe Lernbereitschaft hast
Auch als Quereinsteiger bist du bei uns herzlich willkommen!

Benefits
Warum Du dich bei uns bewerben solltest:
Einfluss: Du arbeitest an Projekten, die direkt und indirekt an den Erfolg des Unternehmens gekoppelt sind und trägst maßgeblich dazu bei, die Unternehmensziele zu erreichen
Eigener Firmenwagen (auch zur Privatnutzung)
ESOP - also Docplanner Group Equity als Mitarbeiter und gleichzeitig Shareholder
30 Tage Urlaub und flexible Arbeitszeiten für die ideale Work-Life-Balance, sowie die Möglichkeit deinen Hund mit ins Büro zu bringen
Home-Office Möglichkeit
Hervorragende Karrieremöglichkeiten im In- und Ausland, in unserem schnell wachsenden Unternehmen - wir unterstützen dich auf deinem Weg zum nächsten Karriereschritt
Ein hohes Maß an Autonomie und Vertrauen
Regelmäßige Trainings, Workshops und Teamevents
Startup-Spirit (flache Hierarchien und kurze Entscheidungswege) innerhalb eines international führenden Unternehmens im Health-Care Bereich, als 100%ige Tochter der Docplanner Group"
Trainee (m/w/d) Informationstechnologie,"Union Investment Frankfurt am Main, Hessen, Deutschland Hybrid",Vor 2 Wochen,72 Bewerbungen,"Hierin bist Du Profi

Die Union Investment Zukunftsschmiede bündelt unsere Nachwuchskräfteprogramme und ermöglicht Dir so den optimalen, individuellen Berufseinstieg in die Welt der Kapitalmärkte.

Starte mit unserem 12-monatigen Traineeprogramm und unterstütze uns ab dem 1. März oder 1. September 2023 bei der erfolgreichen Umsetzung von spannenden Themenstellungen in der Software Entwicklung, im Cloud-Umfeld und im Projektmanagement. Unser Traineeprogramm bietet Dir eine interessante Mischung aus Praxisphasen in den IT-Abteilungen und fachübergreifenden Trainee-Camps.

Ideal für alle Generalist*innen und Allrounder, die sich für ein übergreifendes Themenfeld begeistern.

In den Praxis-Phasen erwarten Dich folgende Inhalte:

Rotierende Einsätze in den unterschiedlichen Einheiten unserer IT, in denen Innovations- und Digitalisierungsvorhaben geplant, aufgesetzt und umgesetzt werden
Spannende Einblicke und Mitarbeit in der operativen Software-Entwicklung von modernen Webapplikationen bis hin zu Mainframe
Umfangreiche Tätigkeiten rund um die Cloud-Infrastruktur, z.B. Migration und Betrieb
Verantwortungsvolle Aufgaben in Projekten rund um Software-Einführung, Regulatorik und Cyber-Security

In den Trainee-Camps erwarten Dich folgende Inhalte:

Persönlichkeitsfördernde Trainings, fachspezifische Workshops & Vorträge
Durchführung von sozialen Projekten im Rahmen der Traineegruppe
Netzwerk-Events und Austauschmöglichkeiten mit dem höheren Management
Unternehmensweite Hospitationen sowie Kennenlernen des Immobiliengeschäfts am Standort Hamburg und der Backoffice-Einheiten in Luxemburg

Dahinter stehst Du als Mensch

Für dieses Programm qualifizierst Du Dich, wenn Du folgende Voraussetzungen mitbringst:

Ein (schon bald) erfolgreich abgeschlossenes (Wirtschafts-)-Informatik-Studium oder einer anderen Fachrichtung mit relevantem IT-Bezug
Erste Erfahrungen im Bereich DevOps, in der Software- Entwicklung, (z.B. Java oder C#) und / oder Erfahrung im Cloud-Umfeld, z.B. Microsoft Azure
Ein ausgeprägtes Interesse an neuen Trends und Technologien
Eine analytische und strukturierte Arbeitsweise

Unsere Zukunftsschmiede setzt auf persönliche Betreuung, Abwechslung und Agilität, große Praxisnähe und eine Kultur des Machens. Wenn du dazu noch deine Individualität einbringst und die Vernetzung nutzt, die wir dir bieten, dann ist eine gute Zukunft bereits geschmiedet: Deine!

Über uns
Union Investment ist Experte im Asset Management und einer der größten deutschen Anbieter von Investmentfonds. Als Teil der Genossenschaftlichen FinanzGruppe bieten wir Privatpersonen als auch institutionelle Kundinnen und Kunden seit 1956 zukunftssichere Anlagelösungen mit dem Ziel, das Vermögen unserer mehr als vier Millionen Anlegerinnen und Anleger zu vermehren.
Unsere Kultur ist geprägt von einem hohen Leistungsanspruch und partnerschaftlichen Miteinander. Um weiter zu wachsen suchen wir engagierte Teamplayer, die wie wir noch unglaublich viel vor haben. Lerne uns als einen ausgezeichneten Arbeitgeber kennen, bei dem Du Profi und gleichzeitig Mensch sein kannst.

Was wir bieten
Neben attraktiven Zusatzleistungen findest Du bei uns vor allem ein partnerschaftliches und faires Miteinander, einen wertschätzenden Zusammenhalt und Menschen, die ihre Aufgaben mit viel Begeisterung, Teamgeist und Überzeugung leben."
Intern / Working Student - System Control (f/m/d),"Deutsche Börse Frankfurt, Hessen, Deutschland Hybrid",Vor 1 Monat,22 Bewerbungen,"Your career at Deutsche Börse Group

Your area of work:

Cash Markets Operations runs one of the largest European equity trading venues – Xetra – as well as special niche market, designed for retail investors – Börse Frankfurt and further foreign exchanges on the T7 trading architecture. We are in continuous contact with more than 150 trading participants, such as investment banks and ensure smooth operations as well as a high availability of our markets, including in special situations like IPOs and technical emergencies. We, therefore, ensure orderly trading and are always available for our clients via the helpdesk.

As an Intern / Working Student - System Control (f/m/d), you are in the heart of the global capital markets and actively support our teams in the following areas.

Your responsibilities:

You will support our team in the day to day business within different areas such as: financial instruments setup and delisting, processing of corporate news, market control as well as Emergency handling, in order to ensure error-free operations of the different trading venues.
You can complete small research- and software-projects independently in order to develop innovative solutions.
You will help with coordinating team-internal optimization actions, focusing on continuous improvement through process-streamlining, digitalization and automation, based on the fundamental principles of high quality and efficient operations (lean, six sigma). This includes the introduction of specific Operations 4.0 megatrends (e.g. scaling through API-compatibility, modular & analytical charged platforms, AI).
In addition to these excited tasks, you will gain Insights in the financial market and contribute to a strong, international team.

Your profile:

You are enrolled at an officially recognized university during the whole time of activity (study focus in the field of informatics, mathematics, physics, digital business, digital transformation or other relevant fields). Furthermore, we offer the possibility of an orientation internship, whereby you are currently in a gap-year after your bachelor's or master's degree in the above-mentioned fields of study - in this case, an enrolment is not required.
You are interested in capital markets and have an affinity to modern technologies.
You can independently and quickly familiarize yourself with new topics.
You have experience in programming (VBA, JavaScript, Python or AI) and you want to further develop these skills through working on concrete tasks.
You have very good MS-Office skills (especially Excel, Word, PowerPoint).
You are fluent English and at least good & improving in German language.

Start date: 01/03/2023"
WORKING STUDENT IT (M/F/D),"Procter & Gamble Schwalbach am Taunus, Hessen, Deutschland Vor Ort",Vor 2 Monaten,41 Bewerbungen,"Our Working Student program is a great opportunity to gain practical knowledge alongside your studies, and P&G offers this!

In a working student engagement with P&G, you are expected to work 20 hours/week, hence working part time along with focusing on your university subjects as well.

Get an opportunity to support and deliver tasks on ongoing IT Projects in the following areas:

Application Management
Platform Management
Network Management
Data Analysis and more

During your work student experience, get hands on experience with projects and get a chance to be a part of collaborative global teams to deliver a bigger vision, while gaining knowledge and guidance from the experts themselves.

WHAT WE OFFER

Continuous mentorship: you will work with motivated people and receive day-to-day mentoring from your manager.
We love flexibility and support your studying. You can arrange your work schedule based on your personal needs.
Multifaceted and supportive work environment: employees are at the core, we value every individual and support initiatives, promoting agility and truly supporting your work/life balance and long-term well-being.

Qualifications

WE ARE LOOKING FOR:

Enrolled at a German University working towards your Bachelor / Master, preferably in an IT related subject (Computer Science, Business Information Systems) or Management fields
Minimum finished 3rd semester of Bachelor
Proficiency in English language
Thorough as well as independent and structured way of working
Great level of organisation
Ability to demonstrate leadership by approaching and solving challenges
Team oriented, with a “can do“ attitude and ability to deliver breakthrough results
Creative, innovative, strong in your initiative, follow-through, communication, and priority-setting
Able to play a key role and influence across levels and functions

APPLICATION TIPS

To optimally prepare for our online assessments & interviews, make sure you fully understand our application process
Please upload all documents mentioned below in the ""CV/Resume"" field. Incomplete applications may lead to delays in the application process.
To make your application stand out, ensure your letter of motivation is unique for the position you apply for. If you can replace the company name and/or position with any other, it is not unique.

REQUIRED DOCUMENTS

CV as a separate document
Cover letter for the specific role you are applying
Copy of A-level (Baccalaureate) grades as well as a Copy of Bachelor and Master (if applicable) diploma and transcript
Copy of relevant work, internship and volunteering certificates or reference letters.

Please upload all documents in the ""CV/Resume"" field. Incomplete applications may lead to delays in the recruitment process.

ABOUT P&G

P&G is a leading global consumer goods company whose winning brands are built around the model of innovation. Whatever your passion is, we want to ignite your potential to become your very best self. We hold true to our purpose, values and principles as we seek to make a difference in the world around us. You will engage in meaningful work that will touch the lives of others and have a real impact.

Everything at P&G starts with understanding - understanding our consumers and our employees as we innovate to improve lives now and for generations to come.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, gender, sexual orientation, sexual identification, age, marital status, veteran status, disability status, or any other legally protected factor.

To ensure that everybody who is interested in joining our team has equal opportunity and ability to start that journey, we have made sure our hiring process is flexible and accessible. From the application to interviews, our team will adapt to your needs and what works best to help you show us your best. To learn more about the P&G Disability Accommodation process, click here."
Intern IT (m/f/d),"Lotus Tech Innovation Centre GmbH Raunheim, Hessen, Deutschland Hybrid",Vor 6 Tagen,48 Bewerbungen,"Job description:

Responsibilities
Respond to user requests for service, troubleshoot problems and help develop solutions.
Support PC hardware components, desktop operating system software, and application software.
Perform minor repairs to equipment and arrange for other servicing needs.
Identify and report system issues to vendors. Monitor and test resolution of those issues sent to vendors.
Monitor antivirus software and updates and repair computers infected with spyware, adware and/or viruses.
Assist in improving information security policies and regulations, and participate in information security system construction and data protection.
Monitor backup systems and procedures to ensure data security.
Record activities, solutions and other responses to request for service.
Assist in maintaining inventory records and documentation for equipment.
Contribute to LTIC technical documentation and participate in policy, procedure, and standards development.
Consult with vendors, perform research and evaluate products to assist in the selection and purchase of equipment and installation or upgrade of systems.
Assist users in determining appropriate software solutions to meet needs.
Develop and provide user training for basic hardware and software use.
Provide backup technical support for network including router, firewall, and wireless access point.
Maintains open communication and positive working relationship with staff.
Promotion of digital experience in R&D and collaboration through automation and process optimization.
Other tasks assigned by line manager
Requirements
Student of German university or an university for applied science (Fachhochschule) with a major in Information Technology, Computer Science or a similar related field
Good understanding of computer network cabling and network file and print services.
Proficiency in operation systems like Microsoft Windows, MacOS, and/or Linux like Ubuntu
Proficiency in computer applications like Microsoft Office
Proficiency in at least one programming language like Python, Javascript, ideally also familiar with scripting languages like Bash and/or Powershell
Ability to prioritize tasks and efficiently manage time.
Ability to exercise good judgment and effectiveness in working with a high performing team
Strong oral and written communications skills, at least in English, ideally also in German. Speaking of Chinese (mandarin) will be a plus.
Additional information
High level of engagement to solve any issues and help others
Positive attitude, resolute and high drive for results
Flexible regarding travels, includes Lotus/Geely Headquarter, Lotus Research Institute, other Lotus/Geely Business Units and office"
WORKING STUDENT IT (M/F/D),"Procter & Gamble Kronberg im Taunus, Hessen, Deutschland Vor Ort",Vor 2 Monaten,29 Bewerbungen,"Our Working Student program is a great opportunity to gain practical knowledge alongside your studies, and P&G offers this!

In a working student engagement with P&G, you are expected to work 20 hours/week, hence working part time along with focusing on your university subjects as well.

Get an opportunity to support and deliver tasks on ongoing IT Projects in the following areas:

Application Management
Platform Management
Network Management
Data Analysis and more

During your work student experience, get hands on experience with projects and get a chance to be a part of collaborative global teams to deliver a bigger vision, while gaining knowledge and guidance from the experts themselves.

WHAT WE OFFER

Continuous mentorship: you will work with motivated people and receive day-to-day mentoring from your manager.
We love flexibility and support your studying. You can arrange your work schedule based on your personal needs.
Multifaceted and supportive work environment: employees are at the core, we value every individual and support initiatives, promoting agility and truly supporting your work/life balance and long-term well-being.

Qualifications

WE ARE LOOKING FOR:

Enrolled at a German University working towards your Bachelor / Master, preferably in an IT related subject (Computer Science, Business Information Systems) or Management fields
Minimum finished 3rd semester of Bachelor
Proficiency in English language
Thorough as well as independent and structured way of working
Great level of organisation
Ability to demonstrate leadership by approaching and solving challenges
Team oriented, with a “can do“ attitude and ability to deliver breakthrough results
Creative, innovative, strong in your initiative, follow-through, communication, and priority-setting
Able to play a key role and influence across levels and functions

APPLICATION TIPS

To optimally prepare for our online assessments & interviews, make sure you fully understand our application process
Please upload all documents mentioned below in the ""CV/Resume"" field. Incomplete applications may lead to delays in the application process.
To make your application stand out, ensure your letter of motivation is unique for the position you apply for. If you can replace the company name and/or position with any other, it is not unique.

REQUIRED DOCUMENTS

CV as a separate document
Cover letter for the specific role you are applying
Copy of A-level (Baccalaureate) grades as well as a Copy of Bachelor and Master (if applicable) diploma and transcript
Copy of relevant work, internship and volunteering certificates or reference letters.

Please upload all documents in the ""CV/Resume"" field. Incomplete applications may lead to delays in the recruitment process.

ABOUT P&G

P&G is a leading global consumer goods company whose winning brands are built around the model of innovation. Whatever your passion is, we want to ignite your potential to become your very best self. We hold true to our purpose, values and principles as we seek to make a difference in the world around us. You will engage in meaningful work that will touch the lives of others and have a real impact.

Everything at P&G starts with understanding - understanding our consumers and our employees as we innovate to improve lives now and for generations to come.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, gender, sexual orientation, sexual identification, age, marital status, veteran status, disability status, or any other legally protected factor.

To ensure that everybody who is interested in joining our team has equal opportunity and ability to start that journey, we have made sure our hiring process is flexible and accessible. From the application to interviews, our team will adapt to your needs and what works best to help you show us your best. To learn more about the P&G Disability Accommodation process, click here."
WORKING STUDENT SOFTWARE DEVELOPMENT (m/f/d),"360T Frankfurt am Main, Hessen, Deutschland Vor Ort",Vor 1 Woche,43 Bewerbungen,"Your responsibilities
You will be part of our diverse Software Development Unit who practice Scrum the right way. You assist from day one with the further development and optimization of system functionalities, as well as with the creation of technical documentation. Learning with our senior developers to design Software and Architecture for our Java Platform, using a variety of technologies. Your tasks can be aligned with your University requirements.

Your profile
Ideally you are studying at University or University of Applied Science with focus on IT
First or advanced experience with Java programming language and its libraries
Basic knowledge of Python, JavaScript, C++
Basic knowledge of Databases including Oracle and/or MySQL
Willingness to work full stack (Java, AngularJS, Docker, Kubernetes)
Network programming
Distributed computing
Great communication and collaboration skills
Highly motivated, self-driven and interested in Software Engineering
Ability to work analytically
Proficiency in English

Our offer
Bachelor / Master Thesis in consultation with the team
Possibility for a permanent employment after successful graduation
Performance appraisals on a regular base
360T Academy
Frankfurt office located directly in the city center
Social gatherings

We offer an outstanding opportunity for a highly motivated individual to participate in the growth of a successful technology company in the financial sector. The position is based in Frankfurt am Main and is available immediately. If your background and qualifications meet these specifications, please forward your application including your salary expectation and the earliest starting date by clicking the “Apply” button."
"Working student – Quality Assurance- Data Engineer, Robotic Process Automation (M/F/D)","Procter & Gamble Schwalbach am Taunus, Hessen, Deutschland Hybrid",Vor 1 Woche,24 Bewerbungen,"Are you looking for a student side-job with real impact?

Being a working student is a great opportunity to gain practical knowledge, and P&G offers this! In a working student engagement with P&G, you are expected to work up to 20 hours/week, hence working part time along with focusing on your university subjects as well. Get an opportunity to support our Quality Assurance department and gain firsthand experience in a multi-national company.

During your working student experience, get hands on experience on the projects and get a chance to be a part of collaborative global teams to deliver a bigger vision, while gaining knowledge and guidance by the experts themselves. You will have the opportunity to get hands on experience with Robotic Process Automation, building and optimizing automated solution connecting data from different data bases. You will also have the opportunity to use ML and AI techniques in combination with product and consumer data and models to provide meaningful contributions and impactful results.

WHAT WE OFFER

Continuous mentorship: you will work with motivated people and receive day-to-day mentoring from your manager.
We love flexibility and support your studying. You can arrange your work schedule based on your personal needs.
There is possibility for remote work setup, but students also will have to be on site on need base.
Multifaceted and supportive work environment: employees are at the core, we value every individual and support initiatives, promoting agility and truly supporting your work/life balance and long-term well-being.

Qualifications

Your PROFILE

Enrolled at a German University working towards your Bachelor / Master, preferably in Computer Science, Informatic, Business Information System, or related fields
Proficiency in English
Experienced in coding with Python, SQL, Data Analytics
Experience in Robotic Process Automation (Blue Prism, UiPath, Power Automate or KNIME)
Experience with PowerBI, cloud-based systems such as Azure and Data bricks and Git based systems such as GitHub will be a plus
Great level of organization
Ability to demonstrate leadership by approaching and solving challenges
Team oriented, with a “can do“ attitude and ability to deliver breakthrough results
Creative, innovative, strong in your initiative, follow-through, communication, and priority-setting
Able to play a key role and influence across levels and functions

APPLICATION

To optimally prepare for our interviews, make sure you fully understand our application process.

CV
Certificate of university enrolment
Copy of Bachelor and Master (if applicable) diploma and transcript
Copy of relevant work, internship and volunteering certificates or reference letters (if available)

Please upload all documents in the ""CV/Resume"" field. Incomplete applications may lead to delays in the recruitment process.

EQUALITY & INCLUSION

P&G is an equal opportunity employer, where respect, diversity, and inclusion are the cornerstones of our culture. We create a company in which all people have the same access and the same chance to learn, grow, succeed, and develop. We do not discriminate on the basis of race, religion, color, gender, sexual orientation, sexual identification, age, marital status, veteran status, disability status, or any other legally protected factor.

P&G ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process. Please follow this link to find out more."
Werkstudent (m/w/d) im Bereich IT,"Diehl Aviation Frankfurt am Main, Hessen, Deutschland Vor Ort",Vor 1 Monat,8 Bewerbungen,"Aus Tradition Zukunft!

Über 16.000 Beschäftigte gestalten derzeit die Ingenieurskunst der Zukunft in unseren fünf Teilkonzernen Metall, Controls, Defence, Aviation und Metering. Bei Diehl Aviation prägen engagierte Luftfahrtexperten den Stand der Technik von Avioniksystemen, Kabinenelementen und Kabinenbeleuchtung – und zwar von hochwertigen Kompositkomponenten, Kabinenausstattungen und Elektroniksystemen in Verkehrsflugzeugen bis hin zu hochintegrierten Bordtoiletten und -küchen. Bewerben Sie sich bei Diehl und entdecken Sie faszinierende Technologien und eine einzigartige Unternehmenstradition der Stabilität und des Vertrauens.

Für unseren Standort in Frankfurt am Main suchen wir Dich als

Werkstudent (m/w/d) im Bereich IT Das bringst Du mit uns nach vorne

Mitarbeit bei der Konzepterstellung verschiedener IT Projekte
Verfolgen und Monitoren verschiedener IT-Projekt-Aktionen
Erstellung von Präsentationen und Dokumentationen
Mitarbeit an Projekt-Arbeitspaketen
Unterstützung bei den anfallenden Aufgaben des ""daily business""
Unterstützung im Second Level Support

Das bringst Du mit an Board

Du bist eingeschrieben und studierst aktiv Informatik, Wirtschaftsinformatik oder einen ähnlichen Studiengang
Du hast Kenntnisse der Microsoft Office Produktpalette und idealerweise auch in Microsoft SharePoint
Du bist sicher im Umgang mit modernen Kommunikationsmitteln
Teamorientierung, Eigeninitiative und sehr gute kommunikative Fähigkeiten runden dein Profil ab

Wir bieten Dir die Chance, Einblicke in die Arbeit eines internationalen Technologiekonzerns zu gewinnen und wertvolle Erfahrungen zu sammeln.

Motiviert? Dann nimm Deine Zukunft in die Hand und bewirb Dich jetzt!

Das sind unsere möglichen Vorteile

Flexible Arbeitszeiten
Gute Verkehrsanbindung
Familienunternehmen
Kantine
Mitarbeiterrabatte
Parkplatz

Diehl Aerospace GmbH

Sarah Funke

An der Sandelmühle 13, 60439 Frankfurt

Tel. +49 695 805 -1701

sarah.funke@diehl.com"
Intern - Cloud Web Application Development (f/m/d),"Deutsche Börse Frankfurt, Hessen, Deutschland Hybrid",Vor 1 Monat,9 Bewerbungen,"Your career at Deutsche Börse Group

Eurex Frankfurt AG is the administrating and operating entity of the Eurex Deutschland derivatives exchange. Eurex Deutschland offers a broad range of international benchmark products including the broadest offer of equity index derivatives, the most liquid fixed-income markets in the world and is the platform of choice for European equity derivatives, featuring open and low-cost electronic access. Amongst others, Eurex Deutschland offers dividend, ETF and volatility derivatives.

Your area of work

The unit Market Development is responsible for the evolution and development of the Eurex market place to address changes in regulation, competition and customer needs. Concrete examples are the design and implementation of the new selective RFQ platform Eurex EnLight to facilitate price formation in off-book liquidity as well as the launch of Eurex Improve to enable best customer order execution in the order book. In close cooperation with other functional and operational teams the Market Development unit also develops and executes concepts to increase proximity as well as enable access for end clients to the exchange. Finally, the unit is responsible for various microstructure topics such as the MiFID II Transparency regime, mistrade rules or Third-Party Information Provider (TPIP) connectivity.

As an working student (f/m/d) you will gain valuable experience in an innovative company and as a part of the derivatives segment of Deutsche Börse you will be actively taking part in our processes, while we are offering you diverse, interesting and challenging tasks.

Your Responsibilities

You will work alongside business analysts to develop a small web application (client/server) for a prototype trading system.
You additionally support in designing, programming, testing and deploying a small prototype solution.
Furthermore, this role provides a great opportunity to gather experience in design, development, testing and deployment of a prototype software solution for our needs.
In addition to these excited tasks, you will gain insights into the functioning of derivatives trading at a leading exchange.

Your profile

You are enrolled during the entire period of activity at a state-recognized university as a regular student and have completed at least 2 semesters. (Study focus in informatics, mathematics, economics, business studies or other relevant fields.)
Ideally, you have already gained first practical experience in development and launch of web applications with 100+ users.
You are interested in Financial and Capital Markets with a special focus on trading.
Experience with programming in Python as well as with web programming technologies (JavaScript, HTML and CSS) is desired. Furthermore, basic knowledge of OS (Unix/Windows), networking, front-end/backend architectures as well as knowledge of cloud platform (GCP/ Azure / AWS) is desired.
You are fluent in written and spoken English and/or German.

Start date: 01/03/2023"
Werkstudent oder Pflichtpraktikant im Bereich Systems Engineering (m/w/d),"Diehl Aviation Frankfurt am Main, Hessen, Deutschland Vor Ort",Vor 1 Woche,13 Bewerbungen,"Aus Tradition Zukunft!

Über 16.000 Beschäftigte gestalten derzeit die Ingenieurskunst der Zukunft in unseren fünf Teilkonzernen Metall, Controls, Defence, Aviation und Metering. Bei Diehl Aviation prägen engagierte Luftfahrtexperten den Stand der Technik von Avioniksystemen, Kabinenelementen und Kabinenbeleuchtung – und zwar von hochwertigen Kompositkomponenten, Kabinenausstattungen und Elektroniksystemen in Verkehrsflugzeugen bis hin zu hochintegrierten Bordtoiletten und -küchen. Bewerben Sie sich bei Diehl und entdecken Sie faszinierende Technologien und eine einzigartige Unternehmenstradition der Stabilität und des Vertrauens.

Für unseren Standort Diehl Aerospace in Frankfurt am Main suchen wir Dich als

Werkstudent oder Pflichtpraktikant im Bereich Systems Engineering (m/w/d) Das bringst Du mit uns nach vorne

Aufnahme ins Team und Mitarbeit an verschiedenen Tätigkeiten, die im Projekt gerade zu bearbeiten sind
Erstellung von Test Cases (in Python)
Inbetriebnahme von Test Cases im Labor Testen der produzierten Geräte/Software
Erledigung diverser anfallender Aufgaben

Das bringst Du mit an Board

Du absolvierst ein technisches Studium (z.B. Luft- und Raumfahrttechnik, Elektrotechnik, Informatik, etc.)
Kenntnisse in der Programmiersprache Python wären wünschenswert
Du hast gute MS-Office Kenntnisse
Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift
Engagement und sorgfältiges sowie eigenständiges Arbeiten und Freude an der Arbeit im Team runden Dein Profil ab

Wir bieten Dir die Möglichkeiten, dein berufliches Potenzial weiterzuentwickeln – denn bei Diehl bist Du Teil einer weltweit operierenden Unternehmensgruppe.

Überzeugt? Dann nimm Deine Zukunft in die Hand und bewirb Dich jetzt!

Das sind unsere möglichen Vorteile

Flexible Arbeitszeiten
Gute Verkehrsanbindung
Berufliche & persönliche Weiterentwicklung
Kantine
Mitarbeiterrabatte
Mitarbeiterevents

Hinweis Bewerbungen schwerbehinderter Mitarbeiter (m/w/d) werden bei gleicher Eignung bevorzugt behandelt.

Solltest Du das wünschen, gebe bitte dazu - auf freiwilliger Basis – deinen SB-Status bei deiner Bewerbung an.

Diehl Aerospace GmbH

Sarah Funke

An der Sandelmühle 13, 60439 Frankfurt

Tel. +49 695 805 -1701

sarah.funke@diehl.com"
Working Student - Cyber Risk Management Business Support (f/m/d),"Deutsche Börse Frankfurt, Hessen, Deutschland Hybrid",Vor 4 Wochen,1 Bewerbung,"Your career at Deutsche Börse Group

Your area of work

As a Working Student (f/m/d) in Cyber Risk Management, you will be a part of the Deutsche Börse Information Security Risk Management team. As a central group function, the Cyber Risk Management is responsible for the enforcement of the Information Security Framework in close collaboration with CISO and other central functions like Group Risk, Compliance Management and Data Privacy. On your journey, you support business in identification, analysis, treatment, monitoring and reporting of the information risks as well as participating in process automation through new technologies. In addition to the valuable practical experience in Cyber Security, you will gain exposure to the Deutsch Börse Group and have the opportunity to network with division and executive-level management.

Your Responsibilities

You will support the team in planning, execution and monitoring of the Information Risk Management process
You will draft, review and evaluate documents like processes, procedures and guidelines
You will operate and maintain Information Risk Management tools like risk register
You will assist the leadership with a range of administrative and organizational tasks
You will independently track, monitor and administer project activities

Your profile

You are currently enrolled in a Bachelor´s or Master´s degree program in the field of Business Informatics, Business Administration or similar and have completed at least 2 semesters
You are interested in Cyber Security particularly in understanding the balanced protection of confidentiality, integrity, and availability in terms of effective and efficient risk management system.
You are a team player with good interpersonal communication skills.
You have very good knowledge in MS Office - prior experience with VBA or Python is an asset.
You are fluent in written and spoken English. German is an asset.

Start date: 01/03/2023"
