"Working Student – R&D - Data Science, Machine Learning and Artificial Intelligence (m/f/d)","Schwalbach, Hesse, Germany",9 hours ago,16 applicants,"Are you looking for a student side-job with real impact?

Working Student is a great opportunity to gain practical knowledge, and P&G offers this! In a working student engagement with P&G, you are expected to work up to 20 hours/week, hence working part time along with focusing on your university subjects as well. Get an opportunity to support our Research & Development department and gain first- hand experience in a multi-national company.

During your working student experience, get hands on experience on the projects and get a chance to be a part of collaborative global teams to deliver a bigger vision, while gaining knowledge and guidance by the experts themselves. You will have the opportunity to get hands on experience with reach Data base of R&D functions, building and optimizing Data models and Algorithms. You will also have the opportunity to use ML and AI techniques in combination with R&D Data and models to provide meaningful contributions and impactful results.

What We Offer

Continuous mentorship: you will work with motivated people and receive day-to-day mentoring from your manager.
We love flexibility and support your studying. You can arrange your work schedule based on your personal needs.
There is a possibility for remote work setup, but students also will have to be on site on need base.
Multifaceted and supportive work environment: employees are at the core, we value every individual and support initiatives, promoting agility and truly supporting your work/life balance and long-term well-being.

Qualifications

YOUR PROFILE

Enrolled at a German University working towards your Bachelor / Master, preferably in Computer Science, Data Science, Computer vision and AI/ML or related fields
Proficiency in English
Experienced in coding with Python, SQL, TensorFlow/Pytorch, Data Analytics and Segmentation Algorithms
Great level of organization
Ability to demonstrate leadership by approaching and solving challenges
Team oriented, with a “can do“ attitude and ability to deliver breakthrough results.
Creative, innovative, strong in your initiative, follow-through, communication, and priority-setting.
Able to play a key role and influence across levels and functions.

Experience with any of these is considered a big plus:

Experience with Mathematical modelling and Knowledge in Material/Porous Media characterization
Experience with KNIME and PowerBI
Experience with cloud-based systems such as Azure and Data bricks
Experience in Git based systems such as GitHub
APPLICATION

To optimally prepare for our interviews, make sure you fully understand our application process.

CV
Certificate of university enrolment
Copy of Bachelor and Master (if applicable) diploma and transcript
Copy of relevant work, internship and volunteering certificates or reference letters (if available)

Please upload all documents in the ""CV/Resume"" field. Incomplete applications may lead to delays in the recruitment process.

EQUALITY & INCLUSION

P&G is an equal opportunity employer, where respect, diversity, and inclusion are the cornerstones of our culture. We create a company in which all people have the same access and the same chance to learn, grow, succeed, and develop. We do not discriminate on the basis of race, religion, color, gender, sexual orientation, sexual identification, age, marital status, veteran status, disability status, or any other legally protected factor.

P&G ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process. Please follow this link to find out more."
WORKING STUDENT IT (M/F/D),"Schwalbach, Hesse, Germany",2 months ago,42 applicants,"Our Working Student program is a great opportunity to gain practical knowledge alongside your studies, and P&G offers this!

In a working student engagement with P&G, you are expected to work 20 hours/week, hence working part time along with focusing on your university subjects as well.

Get an opportunity to support and deliver tasks on ongoing IT Projects in the following areas:

Application Management
Platform Management
Network Management
Data Analysis and more

During your work student experience, get hands on experience with projects and get a chance to be a part of collaborative global teams to deliver a bigger vision, while gaining knowledge and guidance from the experts themselves.

WHAT WE OFFER

Continuous mentorship: you will work with motivated people and receive day-to-day mentoring from your manager.
We love flexibility and support your studying. You can arrange your work schedule based on your personal needs.
Multifaceted and supportive work environment: employees are at the core, we value every individual and support initiatives, promoting agility and truly supporting your work/life balance and long-term well-being.

Qualifications

WE ARE LOOKING FOR:

Enrolled at a German University working towards your Bachelor / Master, preferably in an IT related subject (Computer Science, Business Information Systems) or Management fields
Minimum finished 3rd semester of Bachelor
Proficiency in English language
Thorough as well as independent and structured way of working
Great level of organisation
Ability to demonstrate leadership by approaching and solving challenges
Team oriented, with a “can do“ attitude and ability to deliver breakthrough results
Creative, innovative, strong in your initiative, follow-through, communication, and priority-setting
Able to play a key role and influence across levels and functions

APPLICATION TIPS

To optimally prepare for our online assessments & interviews, make sure you fully understand our application process
Please upload all documents mentioned below in the ""CV/Resume"" field. Incomplete applications may lead to delays in the application process.
To make your application stand out, ensure your letter of motivation is unique for the position you apply for. If you can replace the company name and/or position with any other, it is not unique.

REQUIRED DOCUMENTS

CV as a separate document
Cover letter for the specific role you are applying
Copy of A-level (Baccalaureate) grades as well as a Copy of Bachelor and Master (if applicable) diploma and transcript
Copy of relevant work, internship and volunteering certificates or reference letters.

Please upload all documents in the ""CV/Resume"" field. Incomplete applications may lead to delays in the recruitment process.

ABOUT P&G

P&G is a leading global consumer goods company whose winning brands are built around the model of innovation. Whatever your passion is, we want to ignite your potential to become your very best self. We hold true to our purpose, values and principles as we seek to make a difference in the world around us. You will engage in meaningful work that will touch the lives of others and have a real impact.

Everything at P&G starts with understanding - understanding our consumers and our employees as we innovate to improve lives now and for generations to come.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, gender, sexual orientation, sexual identification, age, marital status, veteran status, disability status, or any other legally protected factor.

To ensure that everybody who is interested in joining our team has equal opportunity and ability to start that journey, we have made sure our hiring process is flexible and accessible. From the application to interviews, our team will adapt to your needs and what works best to help you show us your best. To learn more about the P&G Disability Accommodation process, click here."
Intern IT (m/f/d),"Raunheim, Hesse, Germany",1 week ago,50 applicants,"Job description:

Responsibilities
Respond to user requests for service, troubleshoot problems and help develop solutions.
Support PC hardware components, desktop operating system software, and application software.
Perform minor repairs to equipment and arrange for other servicing needs.
Identify and report system issues to vendors. Monitor and test resolution of those issues sent to vendors.
Monitor antivirus software and updates and repair computers infected with spyware, adware and/or viruses.
Assist in improving information security policies and regulations, and participate in information security system construction and data protection.
Monitor backup systems and procedures to ensure data security.
Record activities, solutions and other responses to request for service.
Assist in maintaining inventory records and documentation for equipment.
Contribute to LTIC technical documentation and participate in policy, procedure, and standards development.
Consult with vendors, perform research and evaluate products to assist in the selection and purchase of equipment and installation or upgrade of systems.
Assist users in determining appropriate software solutions to meet needs.
Develop and provide user training for basic hardware and software use.
Provide backup technical support for network including router, firewall, and wireless access point.
Maintains open communication and positive working relationship with staff.
Promotion of digital experience in R&D and collaboration through automation and process optimization.
Other tasks assigned by line manager
Requirements
Student of German university or an university for applied science (Fachhochschule) with a major in Information Technology, Computer Science or a similar related field
Good understanding of computer network cabling and network file and print services.
Proficiency in operation systems like Microsoft Windows, MacOS, and/or Linux like Ubuntu
Proficiency in computer applications like Microsoft Office
Proficiency in at least one programming language like Python, Javascript, ideally also familiar with scripting languages like Bash and/or Powershell
Ability to prioritize tasks and efficiently manage time.
Ability to exercise good judgment and effectiveness in working with a high performing team
Strong oral and written communications skills, at least in English, ideally also in German. Speaking of Chinese (mandarin) will be a plus.
Additional information
High level of engagement to solve any issues and help others
Positive attitude, resolute and high drive for results
Flexible regarding travels, includes Lotus/Geely Headquarter, Lotus Research Institute, other Lotus/Geely Business Units and office"
WORKING STUDENT IT (M/F/D),"Kronberg, Hesse, Germany",2 months ago,29 applicants,"Our Working Student program is a great opportunity to gain practical knowledge alongside your studies, and P&G offers this!

In a working student engagement with P&G, you are expected to work 20 hours/week, hence working part time along with focusing on your university subjects as well.

Get an opportunity to support and deliver tasks on ongoing IT Projects in the following areas:

Application Management
Platform Management
Network Management
Data Analysis and more

During your work student experience, get hands on experience with projects and get a chance to be a part of collaborative global teams to deliver a bigger vision, while gaining knowledge and guidance from the experts themselves.

WHAT WE OFFER

Continuous mentorship: you will work with motivated people and receive day-to-day mentoring from your manager.
We love flexibility and support your studying. You can arrange your work schedule based on your personal needs.
Multifaceted and supportive work environment: employees are at the core, we value every individual and support initiatives, promoting agility and truly supporting your work/life balance and long-term well-being.

Qualifications

WE ARE LOOKING FOR:

Enrolled at a German University working towards your Bachelor / Master, preferably in an IT related subject (Computer Science, Business Information Systems) or Management fields
Minimum finished 3rd semester of Bachelor
Proficiency in English language
Thorough as well as independent and structured way of working
Great level of organisation
Ability to demonstrate leadership by approaching and solving challenges
Team oriented, with a “can do“ attitude and ability to deliver breakthrough results
Creative, innovative, strong in your initiative, follow-through, communication, and priority-setting
Able to play a key role and influence across levels and functions

APPLICATION TIPS

To optimally prepare for our online assessments & interviews, make sure you fully understand our application process
Please upload all documents mentioned below in the ""CV/Resume"" field. Incomplete applications may lead to delays in the application process.
To make your application stand out, ensure your letter of motivation is unique for the position you apply for. If you can replace the company name and/or position with any other, it is not unique.

REQUIRED DOCUMENTS

CV as a separate document
Cover letter for the specific role you are applying
Copy of A-level (Baccalaureate) grades as well as a Copy of Bachelor and Master (if applicable) diploma and transcript
Copy of relevant work, internship and volunteering certificates or reference letters.

Please upload all documents in the ""CV/Resume"" field. Incomplete applications may lead to delays in the recruitment process.

ABOUT P&G

P&G is a leading global consumer goods company whose winning brands are built around the model of innovation. Whatever your passion is, we want to ignite your potential to become your very best self. We hold true to our purpose, values and principles as we seek to make a difference in the world around us. You will engage in meaningful work that will touch the lives of others and have a real impact.

Everything at P&G starts with understanding - understanding our consumers and our employees as we innovate to improve lives now and for generations to come.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, gender, sexual orientation, sexual identification, age, marital status, veteran status, disability status, or any other legally protected factor.

To ensure that everybody who is interested in joining our team has equal opportunity and ability to start that journey, we have made sure our hiring process is flexible and accessible. From the application to interviews, our team will adapt to your needs and what works best to help you show us your best. To learn more about the P&G Disability Accommodation process, click here."
WORKING STUDENT SOFTWARE DEVELOPMENT (m/f/d),"Frankfurt am Main, Hesse, Germany",1 week ago,45 applicants,"Your responsibilities
You will be part of our diverse Software Development Unit who practice Scrum the right way. You assist from day one with the further development and optimization of system functionalities, as well as with the creation of technical documentation. Learning with our senior developers to design Software and Architecture for our Java Platform, using a variety of technologies. Your tasks can be aligned with your University requirements.

Your profile
Ideally you are studying at University or University of Applied Science with focus on IT
First or advanced experience with Java programming language and its libraries
Basic knowledge of Python, JavaScript, C++
Basic knowledge of Databases including Oracle and/or MySQL
Willingness to work full stack (Java, AngularJS, Docker, Kubernetes)
Network programming
Distributed computing
Great communication and collaboration skills
Highly motivated, self-driven and interested in Software Engineering
Ability to work analytically
Proficiency in English

Our offer
Bachelor / Master Thesis in consultation with the team
Possibility for a permanent employment after successful graduation
Performance appraisals on a regular base
360T Academy
Frankfurt office located directly in the city center
Social gatherings

We offer an outstanding opportunity for a highly motivated individual to participate in the growth of a successful technology company in the financial sector. The position is based in Frankfurt am Main and is available immediately. If your background and qualifications meet these specifications, please forward your application including your salary expectation and the earliest starting date by clicking the “Apply” button."
"Werkstudent R&D - Data Science, Machine Learning and Artificial Intelligence (m/w/d)","Schwalbach, Hesse, Germany",9 hours ago,6 applicants,"Eine Werkstudententätigkeit ist eine großartige Gelegenheit, um praktisches Wissen zu erwerben, und hier bei, P&G bieten wir diese Möglichkeit an!

Bei einem studentischen Engagement mit P&G arbeitest Du bis zu 20 Stunden pro Woche, also Teilzeit, damit Du Dich gleichzeitig um Deine Lerninhalte an der Universität kümmern kannst. Während Deiner Tätigkeit als Werkstudent in der Research & Development Abteilung sammelst du praktische Erfahrungen in Projekten und erhältst so die Möglichkeit, Teil globaler Teams zu sein.

Während deiner Werkstudententätigkeit sammelst du praktische Erfahrungen in den Projekten und bekommst die Chance, Teil eines kollaborativen globalen Teams zu sein, um eine größere Vision zu verwirklichen, während du Wissen und Anleitung von den Experten selbst erhältst. Du wirst die Möglichkeit haben, praktische Erfahrungen mit der Datenbasis von F&E-Funktionen zu sammeln, Datenmodelle und Algorithmen zu erstellen und zu optimieren. Du wirst auch die Möglichkeit haben, ML- und KI-Techniken in Kombination mit F&E-Daten und -Modellen einzusetzen, um sinnvolle Beiträge und wirkungsvolle Ergebnisse zu liefern.

WAS WIR BIETEN

Kontinuierliche Betreuung: Du wirst mit motivierten Leuten zusammenarbeiten und tägliches Mentoring von Deinem Manager erhalten.
Wir lieben Flexibilität und unterstützen Dein Studium, die Arbeitszeiten sprechen wir gemeinsam ab.
Es besteht die Möglichkeit, die Arbeit aus dem HomeOffice zu erledigen, aber bei Bedarf auch vor Ort zu sein.
Vielseitiges und unterstützendes Arbeitsumfeld: Die Mitarbeiter stehen im Mittelpunkt, wir schätzen jeden Einzelnen und unterstützen Initiativen, fördern Agilität und unterstützen wirklich die Work-Life-Balance und das langfristige Wohlbefinden.

Qualifications

DEIN PROFIL

Immatrikuliert an einer deutschen Universität im Rahmen eines Bachelor-/Masterstudiums, vorzugsweise in Informatik, Data Science, Computer Vision und AI/ML oder verwandten Bereichen
Beherrschung der englischen Sprache
Erfahrung in der Programmierung mit Python, SQL, TensorFlow/Pytorch, Datenanalyse und Segmentierungsalgorithmen
Hohes Maß an Organisation
Fähigkeit, Führungsqualitäten zu zeigen, indem du an Herausforderungen herangehst und sie löst
Teamorientiert, mit einer ""Can Do""-Einstellung und der Fähigkeit, bahnbrechende Ergebnisse zu erzielen.
Kreativ, innovativ, stark in Initiative, Durchsetzungsvermögen, Kommunikation und Prioritätensetzung.
Du bist in der Lage, eine Schlüsselrolle zu spielen und über verschiedene Ebenen und Funktionen hinweg Einfluss zu nehmen.

Erfahrung in einem dieser Bereiche ist ein großes Plus:

Erfahrung mit mathematischer Modellierung und Kenntnisse in der Charakterisierung von Materialien/porösen Medien
Erfahrung mit KNIME und PowerBI
Erfahrung mit Cloud-basierten Systemen wie Azure und Data Bricks
Erfahrung mit Git-basierten Systemen wie GitHub
BEWERBUNG

Für die optimale Vorbereitung auf unsere Interviews, empfehlen wir dir, dich vollständig mit unserem Bewerbungsprozess vertraut zu machen.

Lebenslauf
Immatrikulationsbescheinigung
Kopie der Bachelor- und Masterzeugnisse (falls zutreffend) und Notenspiegel
Kopie der relevanten Arbeits-, Praktikums- und Freiwilligenzertifikate oder Referenzschreiben (falls zutreffend)

Lade alle benötigten Dokumente in das “CV/Resume” Feld. Unvollständige Bewerbungen können zu Verzögerungen bei der Einstellung führen.

GLEICHSTELLUNG & INKLUSION

P&G ist ein Arbeitgeber der Chancengleichheit, bei dem Respekt, Vielfalt und Einbeziehung die Eckpfeiler unserer Kultur sind. Wir schaffen ein Unternehmen, in dem alle Menschen den gleichen Zugang und die gleichen Chancen haben, zu lernen, zu wachsen, erfolgreich zu sein und sich zu entwickeln. Wir diskriminieren nicht aufgrund der Rasse, der Religion, der Hautfarbe, des Geschlechts, der sexuellen Orientierung, der sexuellen Identität, des Alters, des Familienstands, des Veteranenstatus, des Behindertenstatus oder eines anderen gesetzlich geschützten Faktors.

P&G stellt sicher, dass Personen mit Behinderungen angemessene Vorkehrungen getroffen werden, um am Bewerbungs- oder Vorstellungsgesprächsverfahren teilzunehmen. Bitte folge diesem Link , um mehr darüber zu erfahren."
Werkstudent (m/w/d) im Bereich IT,"Frankfurt am Main, Hesse, Germany",1 month ago,9 applicants,"Aus Tradition Zukunft!

Über 16.000 Beschäftigte gestalten derzeit die Ingenieurskunst der Zukunft in unseren fünf Teilkonzernen Metall, Controls, Defence, Aviation und Metering. Bei Diehl Aviation prägen engagierte Luftfahrtexperten den Stand der Technik von Avioniksystemen, Kabinenelementen und Kabinenbeleuchtung – und zwar von hochwertigen Kompositkomponenten, Kabinenausstattungen und Elektroniksystemen in Verkehrsflugzeugen bis hin zu hochintegrierten Bordtoiletten und -küchen. Bewerben Sie sich bei Diehl und entdecken Sie faszinierende Technologien und eine einzigartige Unternehmenstradition der Stabilität und des Vertrauens.

Für unseren Standort in Frankfurt am Main suchen wir Dich als

Werkstudent (m/w/d) im Bereich IT Das bringst Du mit uns nach vorne

Mitarbeit bei der Konzepterstellung verschiedener IT Projekte
Verfolgen und Monitoren verschiedener IT-Projekt-Aktionen
Erstellung von Präsentationen und Dokumentationen
Mitarbeit an Projekt-Arbeitspaketen
Unterstützung bei den anfallenden Aufgaben des ""daily business""
Unterstützung im Second Level Support

Das bringst Du mit an Board

Du bist eingeschrieben und studierst aktiv Informatik, Wirtschaftsinformatik oder einen ähnlichen Studiengang
Du hast Kenntnisse der Microsoft Office Produktpalette und idealerweise auch in Microsoft SharePoint
Du bist sicher im Umgang mit modernen Kommunikationsmitteln
Teamorientierung, Eigeninitiative und sehr gute kommunikative Fähigkeiten runden dein Profil ab

Wir bieten Dir die Chance, Einblicke in die Arbeit eines internationalen Technologiekonzerns zu gewinnen und wertvolle Erfahrungen zu sammeln.

Motiviert? Dann nimm Deine Zukunft in die Hand und bewirb Dich jetzt!

Das sind unsere möglichen Vorteile

Flexible Arbeitszeiten
Gute Verkehrsanbindung
Familienunternehmen
Kantine
Mitarbeiterrabatte
Parkplatz

Diehl Aerospace GmbH

Sarah Funke

An der Sandelmühle 13, 60439 Frankfurt

Tel. +49 695 805 -1701

sarah.funke@diehl.com"
Intern - Cloud Web Application Development (f/m/d),"Frankfurt, Hesse, Germany",1 month ago,9 applicants,"Your career at Deutsche Börse Group

Eurex Frankfurt AG is the administrating and operating entity of the Eurex Deutschland derivatives exchange. Eurex Deutschland offers a broad range of international benchmark products including the broadest offer of equity index derivatives, the most liquid fixed-income markets in the world and is the platform of choice for European equity derivatives, featuring open and low-cost electronic access. Amongst others, Eurex Deutschland offers dividend, ETF and volatility derivatives.

Your area of work

The unit Market Development is responsible for the evolution and development of the Eurex market place to address changes in regulation, competition and customer needs. Concrete examples are the design and implementation of the new selective RFQ platform Eurex EnLight to facilitate price formation in off-book liquidity as well as the launch of Eurex Improve to enable best customer order execution in the order book. In close cooperation with other functional and operational teams the Market Development unit also develops and executes concepts to increase proximity as well as enable access for end clients to the exchange. Finally, the unit is responsible for various microstructure topics such as the MiFID II Transparency regime, mistrade rules or Third-Party Information Provider (TPIP) connectivity.

As an working student (f/m/d) you will gain valuable experience in an innovative company and as a part of the derivatives segment of Deutsche Börse you will be actively taking part in our processes, while we are offering you diverse, interesting and challenging tasks.

Your Responsibilities

You will work alongside business analysts to develop a small web application (client/server) for a prototype trading system.
You additionally support in designing, programming, testing and deploying a small prototype solution.
Furthermore, this role provides a great opportunity to gather experience in design, development, testing and deployment of a prototype software solution for our needs.
In addition to these excited tasks, you will gain insights into the functioning of derivatives trading at a leading exchange.

Your profile

You are enrolled during the entire period of activity at a state-recognized university as a regular student and have completed at least 2 semesters. (Study focus in informatics, mathematics, economics, business studies or other relevant fields.)
Ideally, you have already gained first practical experience in development and launch of web applications with 100+ users.
You are interested in Financial and Capital Markets with a special focus on trading.
Experience with programming in Python as well as with web programming technologies (JavaScript, HTML and CSS) is desired. Furthermore, basic knowledge of OS (Unix/Windows), networking, front-end/backend architectures as well as knowledge of cloud platform (GCP/ Azure / AWS) is desired.
You are fluent in written and spoken English and/or German.

Start date: 01/03/2023"
Werkstudent oder Pflichtpraktikant im Bereich Systems Engineering (m/w/d),"Frankfurt am Main, Hesse, Germany",1 week ago,13 applicants,"Aus Tradition Zukunft!

Über 16.000 Beschäftigte gestalten derzeit die Ingenieurskunst der Zukunft in unseren fünf Teilkonzernen Metall, Controls, Defence, Aviation und Metering. Bei Diehl Aviation prägen engagierte Luftfahrtexperten den Stand der Technik von Avioniksystemen, Kabinenelementen und Kabinenbeleuchtung – und zwar von hochwertigen Kompositkomponenten, Kabinenausstattungen und Elektroniksystemen in Verkehrsflugzeugen bis hin zu hochintegrierten Bordtoiletten und -küchen. Bewerben Sie sich bei Diehl und entdecken Sie faszinierende Technologien und eine einzigartige Unternehmenstradition der Stabilität und des Vertrauens.

Für unseren Standort Diehl Aerospace in Frankfurt am Main suchen wir Dich als

Werkstudent oder Pflichtpraktikant im Bereich Systems Engineering (m/w/d) Das bringst Du mit uns nach vorne

Aufnahme ins Team und Mitarbeit an verschiedenen Tätigkeiten, die im Projekt gerade zu bearbeiten sind
Erstellung von Test Cases (in Python)
Inbetriebnahme von Test Cases im Labor Testen der produzierten Geräte/Software
Erledigung diverser anfallender Aufgaben

Das bringst Du mit an Board

Du absolvierst ein technisches Studium (z.B. Luft- und Raumfahrttechnik, Elektrotechnik, Informatik, etc.)
Kenntnisse in der Programmiersprache Python wären wünschenswert
Du hast gute MS-Office Kenntnisse
Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift
Engagement und sorgfältiges sowie eigenständiges Arbeiten und Freude an der Arbeit im Team runden Dein Profil ab

Wir bieten Dir die Möglichkeiten, dein berufliches Potenzial weiterzuentwickeln – denn bei Diehl bist Du Teil einer weltweit operierenden Unternehmensgruppe.

Überzeugt? Dann nimm Deine Zukunft in die Hand und bewirb Dich jetzt!

Das sind unsere möglichen Vorteile

Flexible Arbeitszeiten
Gute Verkehrsanbindung
Berufliche & persönliche Weiterentwicklung
Kantine
Mitarbeiterrabatte
Mitarbeiterevents

Hinweis Bewerbungen schwerbehinderter Mitarbeiter (m/w/d) werden bei gleicher Eignung bevorzugt behandelt.

Solltest Du das wünschen, gebe bitte dazu - auf freiwilliger Basis – deinen SB-Status bei deiner Bewerbung an.

Diehl Aerospace GmbH

Sarah Funke

An der Sandelmühle 13, 60439 Frankfurt

Tel. +49 695 805 -1701

sarah.funke@diehl.com"
Working Student - Cyber Risk Management Business Support (f/m/d),"Frankfurt, Hesse, Germany",1 month ago,1 applicant,"Your career at Deutsche Börse Group

Your area of work

As a Working Student (f/m/d) in Cyber Risk Management, you will be a part of the Deutsche Börse Information Security Risk Management team. As a central group function, the Cyber Risk Management is responsible for the enforcement of the Information Security Framework in close collaboration with CISO and other central functions like Group Risk, Compliance Management and Data Privacy. On your journey, you support business in identification, analysis, treatment, monitoring and reporting of the information risks as well as participating in process automation through new technologies. In addition to the valuable practical experience in Cyber Security, you will gain exposure to the Deutsch Börse Group and have the opportunity to network with division and executive-level management.

Your Responsibilities

You will support the team in planning, execution and monitoring of the Information Risk Management process
You will draft, review and evaluate documents like processes, procedures and guidelines
You will operate and maintain Information Risk Management tools like risk register
You will assist the leadership with a range of administrative and organizational tasks
You will independently track, monitor and administer project activities

Your profile

You are currently enrolled in a Bachelor´s or Master´s degree program in the field of Business Informatics, Business Administration or similar and have completed at least 2 semesters
You are interested in Cyber Security particularly in understanding the balanced protection of confidentiality, integrity, and availability in terms of effective and efficient risk management system.
You are a team player with good interpersonal communication skills.
You have very good knowledge in MS Office - prior experience with VBA or Python is an asset.
You are fluent in written and spoken English. German is an asset.

Start date: 01/03/2023"
Intern (M/F/D) Information Technology Application Management,"Frankfurt, Hesse, Germany",3 weeks ago,43 applicants,"Join the movement and find new inspiration.

We Have Exciting Opportunities For You As

Intern Information Technology Application Management (M/F/D)

at the Kia Europe Headquarters in Frankfurt/Main, Germany

>> for 12 months, starting from December 2022

Kia Europe is, together with its sister brand Hyundai, the fifth-largest automotive company in the world. Since its foundation in 1944, Kia Europe has been a significant player in the booming automotive industry, not only in South Korea but worldwide. People drive Kia cars in about 180 countries.

Kia Europe is the Regional Headquarters of Kia and centrally leads the Sales & Marketing activities for 14 European sales subsidiaries and coordinates the activities of our production facility in Zilina, Slovakia. Kia employs about 5,500 persons in Europe, including about 3,500 blue collar workers in our state of the art car plant in Slovakia. We sell just over 500,000 vehicles and produce about 300,000 vehicles for worldwide distribution every year.

You will enjoy working with us if you like these things:
A pulsating international environment. Our workforce is composed of people from 37 nations.
Playing an active and important part in the development of Kia in Europe.
Developing new frameworks and solutions.
Demanding challenges to which you can creatively contribute.
A competitive compensation package; a Job ticket, systematic off and on-the-job training, free staff restaurant as well as exciting company activities.
The Challenges: High - The Job: Great.
Your initiative, energy and persistence will ultimately determine your success.
You will work in a network of experts in IT and other business professionals.
You have the spirit that makes us successful.
You are +++ ambitious +++ dynamic +++ flexible +++ optimistic +++ patient +++

The Requirements

For your internship at Kia Europe you need to be enrolled during the whole internship period. Furthermore you need a valid visa and an unrestricted permit to work in Germany. We recommend completing a twelve-month internship with us, as this gives you sufficient time to learn about Kia Europe and familiarize yourself with your topic. On-site presence is required.

Your Mission
Help to coordinate the daily business and timely completion of IT service activity
Support the team in administrative tasks (Expense Reports, Traveling Organization)
Support the IT Team in development and translation tasks of IT Policy Handbook
Support the team in inventory management process
Receive, coordinate and communicate application related issues and request in ticket management system (IT Hotline)
Take and resolve incoming queries and responsible for local call tracking and reporting
Your Talents
Bachelor or Master student in the field of IT/Computer Science
Capable at analyzing problems and at communicating solutions and results
Advanced computer skills above all MS-Office package
Strong team player with an open approach to different nationalities and cultures
Excellent verbal and written English communication skills
Knowledge about Automotive industry is a plus
If you’re interested to become part of our Kia team, please apply via our online portal. We are looking forward to getting to know you."
Intern Bachelors/Master Computer Science Student,"Mainz, Rhineland-Palatinate, Germany",3 days ago,8 applicants,"When you join Honeywell, you become a member of our global team of thinkers, innovators, dreamers and doers who make the things that make the future. That means changing the way we fly, fueling jets in an eco-friendly way, keeping buildings smart and safe and even making it possible to breathe on Mars. Working at Honeywell isn’t just about developing cool things. That’s why all of our employees enjoy access to dynamic career opportunities across different fields and industries.

Are you ready to help us make the future?

We have a great opportunity for an Intern Bachelors/Master Computer Science Student to join our Honeywell Performance Materials and Technologies team in Mainz-Kastel!

If you are good team player, reliable and are open for new perspectives – this position might be right for you.

Tasks
Developing test cases for the firmware of our Electronic Volume Correctors and Flow Computer. Also, for our PC based configuration tools
Working really close with the firmware department, production and after sales
Computer science topics
Testing processes direct with developers

Requirements
Bachelor’s or Master´s Student
Fluent in German and English
Interest in computer science field
Basic technical skills in Java programming
Understanding of embedded systems

Benefits
A culture that fosters inclusion, diversity and innovation
Market specific training and ongoing personal development
Career growth opportunities;
Experienced leaders to support your professional development;
International work environment;

If this is your dream role, then we'd love to hear from you!

We are an equal opportunity employer and value diversity at our company.

We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform crucial job functions, and to receive other benefits and privileges of employment.

Please contact us to request accommodation."
Werkstudent Softwareentwicklung (m/w/d),"Weiterstadt, Hesse, Germany",3 days ago,8 applicants,"Hoch. Spannend. Frei. Die LTB Leitungsbau GmbH ist Partner der Stromnetzbetreiber und sorgt dafür, dass ihre Kunden Strom dorthin bringen können, wo er benötigt wird. Mit unserer über 100-jährigen Tradition, der Expertise und dem Engagement unserer mehr als 400 Mitarbeiter sind wir Komplettanbieter beim Bau und der Instandsetzung von Freileitungen mit Hoch- und Höchstspannung. Seit 2019 sind wir Teil der BKW-Gruppe.

Du suchst spannende Aufgaben parallel zum Studium? Dann komm in unser Team der Softwareentwicklung am Standort Mannheim.

Frank Bochmann, Referent Recruiting, stellt dir die offene Position vor:

Dieses Tätigkeitsfeld begeistert dich
Mitwirkung bei der Entwicklung neuer und Optimierung bestehender Software im .net Umfeld
Dokumentation, Versionierung, Code Reviews und Implementierung von Unit- und Integrationstests

Deine Expertise begeistert uns
Studium der Informatik, Mathematik oder im Ingenieurwesen in einem fortgeschrittenen Semester bzw. abgeschlossene Ausbildung zum Fachinformatiker
schnelle Auffassungsgabe und strukturierte Arbeitsweise
Interesse für Geoinformationssysteme oder Building Information Modeling (BIM) von Vorteil.

Wir wünschen keine Anfragen von Personaldienstleistern."
